mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Baja California Sur,0,0,0,0,1,0,0,0,1
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Campeche,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Chiapas,0,0,4,0,3,0,1,0,8
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Chihuahua,0,0,6,0,1,0,9,0,16
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Ciudad de México,0,0,4,0,3,0,10,0,17
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Coahuila de Zaragoza,0,0,0,0,0,0,2,0,2
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Colima,0,0,0,0,0,0,1,0,1
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Durango,0,0,2,0,6,0,5,0,13
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Estado de México,0,0,2,0,1,0,3,0,6
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Guanajuato,0,0,32,0,0,0,4,0,36
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Guerrero,0,0,5,0,2,0,4,0,11
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Hidalgo,1,0,0,0,0,0,0,0,1
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Jalisco,0,0,0,0,15,0,6,0,21
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Michoacán de Ocampo,0,0,3,0,2,0,23,0,28
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Morelos,0,0,8,0,0,0,1,0,9
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Nayarit,0,0,0,0,0,0,3,0,3
