mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Guanajuato,0,0,0,0,4,0,0,0,4
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Guerrero,0,0,2,0,1,0,3,0,6
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Hidalgo,0,0,1,0,2,0,0,0,3
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Jalisco,2,0,3,0,4,0,2,0,11
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Michoacán de Ocampo,0,0,1,0,0,0,1,0,2
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Morelos,0,0,7,0,0,0,1,0,8
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Nayarit,1,0,0,0,2,0,2,0,5
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Nuevo León,0,0,5,0,0,0,2,0,7
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Oaxaca,0,0,3,0,2,0,2,0,7
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Puebla,0,0,2,0,1,0,0,0,3
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Querétaro,1,0,0,0,0,0,0,0,1
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Quintana Roo,2,0,2,0,0,0,3,0,7
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,San Luis Potosí,0,0,0,0,0,0,1,0,1
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Sinaloa,0,0,2,0,11,0,7,0,20
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Sonora,0,0,0,0,2,0,0,0,2
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Tabasco,1,0,1,0,1,0,0,0,3
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Tamaulipas,1,0,1,0,1,0,2,0,5
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Tlaxcala,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Veracruz de Ignacio de la Llave,1,0,5,0,4,0,1,0,11
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Yucatán,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Zacatecas,0,0,22,0,2,0,9,0,33
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Extranjeros,1,0,3,0,3,0,1,0,8
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Aguascalientes,0,0,2,0,0,0,1,0,3
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Baja California,0,0,9,0,11,0,5,0,25
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Baja California Sur,0,0,0,0,1,0,0,0,1
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Campeche,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Chiapas,0,0,4,0,4,0,1,0,9
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Chihuahua,0,0,6,0,1,0,10,0,17
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Ciudad de México,0,0,4,0,3,0,9,0,16
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Coahuila de Zaragoza,0,0,0,0,0,0,2,0,2
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Colima,0,0,0,0,0,0,1,0,1
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Durango,0,0,2,0,10,0,5,0,17
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Estado de México,0,0,2,0,1,0,3,0,6
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Guanajuato,0,0,32,0,0,0,3,0,35
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Guerrero,0,0,5,0,2,0,4,0,11
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Hidalgo,1,0,0,0,0,0,0,0,1
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Jalisco,0,0,0,0,16,0,6,0,22
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Michoacán de Ocampo,0,0,3,0,6,0,22,0,31
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Morelos,0,0,8,0,1,0,1,0,10
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Nayarit,0,0,0,0,2,0,3,0,5
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Nuevo León,2,0,8,0,1,0,1,0,12
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Oaxaca,0,0,1,0,3,0,0,0,4
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Puebla,1,0,19,0,3,0,1,0,24
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Querétaro,0,0,2,0,0,0,2,0,4
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Quintana Roo,1,0,2,0,0,0,0,0,3
